system,time_s,coordinate_name,coordinate_units,coordinate,velocity,acceleration,force_N,kinetic_energy_J,potential_energy_J,total_energy_J,period_s,frequency_Hz,angular_frequency_rad_s,amplitude,mass_kg,stiffness_or_length,damping,driving_force_or_torque,driving_frequency_rad_s
Simple Pendulum,0.016281899996101856,theta,rad,0.09997145795133229,-0.0035058107844116245,-0.21527995791368235,-0.645839873741047,5.530819165243583e-05,0.14694356847491427,0.14699887666656672,3.476781867858931,0.2876223007386481,1.807184214018262,0.09999028603264896,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.04145350004546344,theta,rad,0.09981503280259843,-0.00892173565845575,-0.21500468967104935,-0.6450140690131481,0.0003581881522171239,0.14648446514660682,0.14684265329882396,3.476779555832737,0.2876224920048134,1.8071854157790215,0.0999370951751484,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.09145350004546345,theta,rad,0.09910059427900202,-0.01964596583780387,-0.2138239497891754,-0.6414718493675262,0.001736837881650705,0.14439671851310945,0.14613355639476017,3.4767690616470697,0.28762336015676127,1.8071908705385848,0.09969530664372325,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.13330280007794498,theta,rad,0.09809161722594925,-0.028562159972285946,-0.21218709516646553,-0.6365612854993966,0.0036710864202710407,0.14147372788140253,0.14514481430167356,3.4767544291274723,0.2876245706691917,1.807198476412502,0.09935718547705476,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.18330280007794497,theta,rad,0.09639932542028372,-0.039106750393227516,-0.20945564605788608,-0.6283669381736583,0.006882020668431902,0.13663813049657317,0.14352015116500508,3.47673038613363,0.2876265597091843,1.807210973919359,0.09879909321514306,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.21994690005667505,theta,rad,0.09482620904867232,-0.04673693314115028,-0.2069166462040269,-0.6207499386120807,0.009829534137481579,0.13221830575672433,0.1420478398942059,3.476708598404284,0.2876283621983658,1.8072222992929003,0.09829060770221437,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.26994690005667504,theta,rad,0.09223237771649952,-0.05698133042373754,-0.20271784754444844,-0.6081535426333453,0.01461092407586621,0.12508901775662581,0.13969994183249201,3.476673854735166,0.28763123657343304,1.80724035952409,0.09747425477442376,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.30463780006393787,theta,rad,0.09013432669951957,-0.06395579249703898,-0.19930569433334966,-0.597917083000049,0.01840654527265938,0.11946664289931294,0.13787318817197233,3.476646823924945,0.28763347289646596,1.8072544107561126,0.09683435624859224,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.35463780006393786,theta,rad,0.08668966561135982,-0.07378366479432028,-0.1936673252426475,-0.5810019757279424,0.024498131357162778,0.11051543168487615,0.13501356304203893,3.4766045114247275,0.28763697357977475,1.8072764061980435,0.09582409742045522,1.0,3.0,0.05,1.0,1.808
Simple Pendulum,0.3897955000167712,theta,rad,0.0839768091904445,-0.0805151384795022,-0.189192732261811,-0.567578196785433,0.02917209385968037,0.10371074770073191,0.13288284156041227,3.4765729856687058,0.28763958188775196,1.8072927946804025,0.09506439017778927,1.0,3.0,0.05,1.0,1.808
